,1. open,2. high,3. low,4. close,5. volume
2023-06-01,3.8300,4.0600,3.7180,3.8900,36257
2023-05-31,3.7300,3.8500,3.5100,3.8400,45203
2023-05-30,3.5000,3.8550,3.4569,3.7900,59798
2023-05-26,3.0600,3.3700,2.8401,3.3200,51460
2023-05-25,2.9300,3.0600,2.8300,3.0000,42120
2023-05-24,2.5800,2.9700,2.5601,2.9100,75008
2023-05-23,2.0950,2.7200,2.0850,2.6300,55159
2023-05-22,2.0900,2.1600,2.0100,2.0400,191103
2023-05-19,2.0900,2.2699,1.9950,2.1400,94299
2023-05-18,2.1100,2.1600,1.9600,2.0800,68150
2023-05-17,2.0200,2.2950,1.9200,2.1100,99604
2023-05-16,2.0500,2.1600,1.9400,1.9900,68641
2023-05-15,1.9754,2.0900,1.9000,1.9700,111171
2023-05-12,1.8400,2.1013,1.8400,1.9600,45471
2023-05-11,1.9300,1.9800,1.7600,1.8700,126100
2023-05-10,1.8900,1.9815,1.6200,1.9400,106391
2023-05-09,1.8200,1.8650,1.7200,1.8100,118574
2023-05-08,1.8800,1.9000,1.7800,1.8500,28097
2023-05-05,1.8473,1.9300,1.7901,1.8400,48610
2023-05-04,1.8400,1.9200,1.7800,1.8200,61638
2023-05-03,1.8300,1.8800,1.7700,1.8100,64043
2023-05-02,1.8103,1.9100,1.7600,1.8000,61405
2023-05-01,1.9300,2.0900,1.7600,1.8100,37180
2023-04-28,1.9500,2.0500,1.8050,1.8900,78375
2023-04-27,1.9750,1.9832,1.8700,1.9300,16446
2023-04-26,2.0200,2.1000,1.9200,1.9800,80256
2023-04-25,2.0000,2.0700,1.9300,1.9900,46486
2023-04-24,2.0600,2.1500,1.9516,2.0200,19936
2023-04-21,2.0400,2.1300,2.0100,2.0600,77284
2023-04-20,2.0300,2.2000,2.0100,2.0600,19373
2023-04-19,2.1400,2.2200,2.0850,2.1200,42336
2023-04-18,2.1900,2.2600,2.0800,2.1200,29231
2023-04-17,2.3000,2.3050,2.0650,2.1500,25674
2023-04-14,2.2600,2.7700,2.2100,2.2600,22546
2023-04-13,2.3500,2.3800,2.1000,2.2800,806157
2023-04-12,2.5300,2.5700,2.3000,2.3200,32147
2023-04-11,2.5000,2.9200,2.3000,2.5100,81808
2023-04-10,2.4400,2.4700,2.3500,2.4100,35791
2023-04-06,2.6472,2.6900,2.3700,2.4700,74281
2023-04-05,2.7100,2.9600,2.6800,2.7100,23625
2023-04-04,2.8450,2.8950,2.6900,2.7700,61666
2023-04-03,3.2000,3.2000,2.7450,2.8900,27560
2023-03-31,2.8200,2.9900,2.7500,2.9600,26694
2023-03-30,2.6500,3.1799,2.6400,2.8600,15979
2023-03-29,2.7500,2.9426,2.6300,2.7400,11348
2023-03-28,3.2099,3.2099,2.7100,2.7500,35306
2023-03-27,3.0800,3.2185,2.8001,2.8900,26641
2023-03-24,2.8800,2.9600,2.8400,2.9400,22068
2023-03-23,3.0200,3.1500,2.8000,2.8950,42948
2023-03-22,3.3587,3.4500,3.0000,3.0000,180767
2023-03-21,3.2500,3.5000,3.0800,3.2600,38512
2023-03-20,3.2300,3.3300,3.0600,3.1600,37795
2023-03-17,3.2700,3.4300,3.1450,3.2100,47467
2023-03-16,3.3000,3.4200,3.0800,3.3400,60365
2023-03-15,3.4200,3.5900,3.4001,3.4400,37441
2023-03-14,3.6300,3.8100,3.3501,3.4900,75478
2023-03-13,3.6600,3.9000,3.3150,3.5000,57205
2023-03-10,4.8200,4.8200,3.6100,3.7800,186342
2023-03-09,5.1100,5.1100,4.7100,4.7900,20906
2023-03-08,5.0200,5.1600,4.7200,5.0100,31517
2023-03-07,4.9000,5.1150,4.9000,5.0400,21532
2023-03-06,4.9500,5.0500,4.9500,5.0000,10146
2023-03-03,5.1100,5.1800,4.7100,4.9600,67890
2023-03-02,5.0500,5.1980,4.7600,5.0900,34646
2023-03-01,5.4200,5.5300,5.0700,5.1400,22107
2023-02-28,5.7050,5.7700,5.2500,5.4200,140721
2023-02-27,5.0100,5.6300,5.0000,5.4100,76457
2023-02-24,5.1000,5.1300,4.6400,5.0000,56442
2023-02-23,5.2100,5.4000,5.1000,5.1200,47830
2023-02-22,5.1600,5.3000,5.1000,5.1700,34364
2023-02-21,5.5400,5.6750,5.1000,5.1500,59962
2023-02-17,5.8000,5.9100,5.3600,5.5400,62303
2023-02-16,5.7200,5.9800,5.7000,5.7400,24738
2023-02-15,5.8400,6.0100,5.8050,5.8500,13724
2023-02-14,5.8900,6.0500,5.7000,5.8800,34341
2023-02-13,6.0500,6.0500,5.8300,5.9400,9765
2023-02-10,5.8600,6.0000,5.7000,5.8700,21088
2023-02-09,6.1500,6.3250,5.7630,5.8600,62664
2023-02-08,6.1000,6.3100,6.0100,6.1500,151732
2023-02-07,6.0300,6.4700,5.9500,6.1000,110539
2023-02-06,6.0000,6.2000,5.9800,5.9800,11564
2023-02-03,6.0100,6.4150,5.9700,6.2500,112598
2023-02-02,6.0300,6.1600,5.7800,6.0700,73376
2023-02-01,6.0000,6.0800,5.8600,5.9700,18597
2023-01-31,5.8500,6.0300,5.8500,5.9600,16656
2023-01-30,5.9900,6.1000,5.6900,5.8400,32292
2023-01-27,5.8600,6.3900,5.8600,6.0400,60027
2023-01-26,6.0400,6.1500,5.9000,6.1000,18390
2023-01-25,5.9100,6.4800,5.6950,6.0400,85555
2023-01-24,6.0000,6.2500,5.7300,6.0300,15175
2023-01-23,5.8890,6.0600,5.8500,5.9850,11463
2023-01-20,5.8100,6.0300,5.5600,5.9100,16378
2023-01-19,5.7500,5.8000,5.6100,5.7400,17957
2023-01-18,5.9100,6.0000,5.6600,5.7000,18056
2023-01-17,5.9600,6.0800,5.7000,5.8100,37358
2023-01-13,5.9700,6.0400,5.8350,5.9300,94610
2023-01-12,5.6800,5.9900,5.6800,5.8800,20438
2023-01-11,5.5700,5.8000,5.5000,5.7100,15290
2023-01-10,5.5700,5.7000,5.5700,5.6000,10698
2023-01-09,5.7400,5.9100,5.2000,5.4900,43067
2023-01-06,5.7200,5.8500,5.5800,5.6600,24546
2023-01-05,5.9700,6.2500,5.6000,5.6100,63688
2023-01-04,5.6100,5.7500,5.4650,5.6500,20695
2023-01-03,5.6400,5.7400,5.3900,5.6200,43254
2022-12-30,5.2500,5.7350,5.1900,5.6400,45769
2022-12-29,5.2400,5.4000,4.8900,5.3600,24861
2022-12-28,5.3000,5.4400,5.1300,5.1700,62565
2022-12-27,5.0846,5.4000,4.9500,5.1800,48507
2022-12-23,5.2200,5.3200,4.9500,5.1400,55616
2022-12-22,4.6900,5.2450,4.4100,5.1300,47752
2022-12-21,4.7000,4.9050,4.3600,4.7800,18589
2022-12-20,4.5400,4.8300,4.4820,4.6200,29391
2022-12-19,4.8700,4.9400,4.6100,4.6100,25620
2022-12-16,4.7700,4.9900,4.6700,4.7200,152721
2022-12-15,5.0100,5.2450,4.8050,4.9500,17672
2022-12-14,4.8000,5.2600,4.8000,5.1000,27334
2022-12-13,4.8000,4.8950,4.5000,4.8600,32180
2022-12-12,4.6200,4.7100,4.3050,4.6000,18905
2022-12-09,4.5500,4.7500,4.4500,4.5500,22567
2022-12-08,4.6000,4.7000,4.3700,4.5800,20589
2022-12-07,4.7000,4.7000,4.3300,4.4400,19777
2022-12-06,4.7500,4.8000,4.4000,4.5500,26658
2022-12-05,4.7900,5.0400,4.5000,4.7600,39615
2022-12-02,4.7300,5.0550,4.6500,4.9400,41349
2022-12-01,4.7800,5.1900,4.5900,4.8500,68941
2022-11-30,4.6900,4.8150,4.4100,4.7200,54931
2022-11-29,4.6400,4.9000,4.4300,4.6400,60476
2022-11-28,4.8900,4.9300,4.4100,4.6400,45882
2022-11-25,4.6000,4.9200,4.5400,4.8100,8522
2022-11-23,4.5000,4.8000,4.4950,4.6200,33722
2022-11-22,4.8200,4.8500,4.3200,4.4800,18913
2022-11-21,4.6500,4.9000,4.5400,4.7600,10966
2022-11-18,5.4900,5.4900,4.6100,4.7400,83659
2022-11-17,5.3800,5.6500,4.9600,5.3200,90173
2022-11-16,5.4999,5.6000,5.2506,5.4600,24951
2022-11-15,5.0700,5.5000,4.9270,5.3600,67645
2022-11-14,4.9600,5.0200,4.8300,4.9800,59213
2022-11-11,4.8400,5.0900,4.7000,4.9600,84948
2022-11-10,4.1500,4.9400,4.0000,4.8700,96917
2022-11-09,4.2300,4.3100,3.7500,3.7600,118523
2022-11-08,4.5000,4.5800,4.0700,4.2800,80189
2022-11-07,4.6300,4.7000,4.3700,4.5700,54601
