,1. open,2. high,3. low,4. close,5. volume
2024-01-08,1.1100,1.1800,1.1100,1.1800,2590
2024-01-05,1.2100,1.2100,1.1000,1.1600,8459
2024-01-04,1.1400,1.2604,1.0800,1.2450,24667
2024-01-03,1.2500,1.2799,1.1400,1.1800,40710
2024-01-02,1.1600,1.3000,1.1200,1.2100,138338
2023-12-29,1.0600,1.2410,1.0600,1.1500,67574
2023-12-28,1.0200,1.0999,1.0200,1.0600,13663
2023-12-27,1.0402,1.1000,1.0000,1.0400,59498
2023-12-26,1.0300,1.1039,0.9900,1.0400,16364
2023-12-22,1.0200,1.1200,0.9600,1.0700,37637
2023-12-21,1.0900,1.1099,1.0300,1.1000,13579
2023-12-20,1.0600,1.1500,0.9800,1.0298,10165
2023-12-19,1.0726,1.2200,1.0000,1.1200,41856
2023-12-18,1.0000,1.2100,0.9892,1.1000,88487
2023-12-15,1.2500,1.3000,0.8900,0.9400,189260
2023-12-14,1.2200,1.3200,1.2100,1.2700,8574
2023-12-13,1.2967,1.2967,1.2200,1.2200,12891
2023-12-12,1.2200,1.3000,1.2200,1.2501,8019
2023-12-11,1.2300,1.2801,1.2100,1.2600,23324
2023-12-08,1.2994,1.3100,1.2900,1.2900,2671
2023-12-07,1.2900,1.3399,1.2500,1.2800,7747
2023-12-06,1.2800,1.3000,1.2100,1.3000,9747
2023-12-05,1.3000,1.3602,1.3000,1.3001,3197
2023-12-04,1.3201,1.3900,1.3201,1.3301,3869
2023-12-01,1.3544,1.3700,1.2800,1.3700,8984
2023-11-30,1.3800,1.3800,1.3250,1.3780,2224
2023-11-29,1.3300,1.3900,1.3200,1.3900,6517
2023-11-28,1.3000,1.3300,1.3000,1.3001,2099
2023-11-27,1.2500,1.3300,1.2500,1.3000,8101
2023-11-24,1.2850,1.3100,1.2799,1.3000,3459
2023-11-22,1.2900,1.2992,1.2519,1.2700,3424
2023-11-21,1.2850,1.3009,1.2500,1.2600,7343
2023-11-20,1.3200,1.3200,1.3000,1.3000,5957
2023-11-17,1.3000,1.3247,1.3000,1.3000,5349
2023-11-16,1.3200,1.3200,1.3001,1.3100,3631
2023-11-15,1.3000,1.3270,1.3000,1.3150,2258
2023-11-14,1.3400,1.3400,1.3200,1.3200,6463
2023-11-13,1.3500,1.3550,1.3100,1.3100,5865
2023-11-10,1.3550,1.3600,1.3500,1.3600,3231
2023-11-09,1.3900,1.3900,1.3500,1.3500,4049
2023-11-08,1.3300,1.4000,1.3300,1.3900,5173
2023-11-07,1.4300,1.4300,1.3300,1.3300,5638
2023-11-06,1.3400,1.4400,1.3300,1.3600,6386
2023-11-03,1.2800,1.4000,1.2800,1.3100,7901
2023-11-02,1.3000,1.3900,1.2835,1.3300,27383
2023-11-01,1.3000,1.3000,1.2400,1.2500,12630
2023-10-31,1.2600,1.2699,1.1900,1.2400,7700
2023-10-30,1.1700,1.2799,1.1700,1.2700,8565
2023-10-27,1.2557,1.2700,1.1500,1.2050,32035
2023-10-26,1.2110,1.2653,1.1510,1.1900,40614
2023-10-25,1.2200,1.2700,1.2200,1.2301,8003
2023-10-24,1.2500,1.2600,1.1232,1.2600,9332
2023-10-23,1.1500,1.2700,1.1000,1.2150,92068
