,1. open,2. high,3. low,4. close,5. volume
2024-08-21,176.3900,177.4497,176.2400,177.1400,1155673
2024-08-20,175.9600,176.5700,175.4100,175.8700,829640
2024-08-19,174.7800,175.9300,174.2400,175.9100,557677
2024-08-16,174.1000,174.9800,173.8200,174.6300,904630
2024-08-15,173.2200,174.6600,173.1800,174.5300,619436
2024-08-14,171.4100,171.8800,170.4200,171.4700,925355
2024-08-13,169.4100,171.0900,169.2300,171.0500,587360
2024-08-12,168.6800,169.3100,167.7200,168.5400,744376
2024-08-09,167.2200,168.7500,166.9500,168.2600,700263
2024-08-08,164.6600,167.4300,164.5000,167.2400,641667
2024-08-07,166.0700,167.1200,162.9100,163.0400,819881
2024-08-06,163.6400,166.7450,163.0900,164.3900,1777773
2024-08-05,160.7400,164.8300,160.7400,162.6400,1538242
2024-08-02,167.7800,168.6700,166.0800,167.5200,1076019
2024-08-01,172.6500,173.5900,168.6700,169.8600,1331956
2024-07-31,171.3400,172.5300,170.7950,171.7800,1807232
2024-07-30,169.9000,170.3250,167.5400,168.6500,821201
2024-07-29,170.0000,170.2200,168.8200,169.3400,697854
2024-07-26,168.6100,170.3000,168.4700,169.3600,914083
2024-07-25,168.4200,170.0053,166.8600,167.2000,1081137
2024-07-24,170.9900,171.1300,168.1900,168.4700,1101717
2024-07-23,173.0200,173.3100,172.3700,172.4900,812424
2024-07-22,172.3200,173.2300,171.7300,173.0900,803049
2024-07-19,172.2400,172.8200,170.6000,170.7800,547375
2024-07-18,173.9300,174.2100,171.4200,172.0700,1188138
2024-07-17,174.0100,174.4600,173.2200,173.2200,1965449
2024-07-16,175.4600,176.1500,175.2100,176.0800,957429
2024-07-15,175.0900,175.8800,174.3200,174.9800,977758
2024-07-12,173.4500,175.6200,173.4200,174.3200,784827
2024-07-11,174.7700,174.8900,173.0400,173.0500,861376
2024-07-10,173.6100,174.7400,173.1650,174.6600,897012
2024-07-09,173.7300,173.7700,173.1400,173.2900,958714
2024-07-08,173.8500,173.8500,172.8100,173.2300,779689
2024-07-05,172.3600,173.5400,172.0700,173.4100,976678
2024-07-03,171.4800,172.3200,171.3400,172.2100,674073
2024-07-02,169.9600,171.5000,169.8500,171.4600,1169848
2024-07-01,171.0300,171.0700,169.5600,170.4300,1055756
2024-06-28,171.7100,172.6300,170.2800,170.7600,1007535
2024-06-27,171.8900,172.2700,171.3000,171.7400,1607028
2024-06-26,171.8400,172.0300,171.1900,171.8400,760176
2024-06-25,171.9900,172.3100,171.4419,172.2100,692802
2024-06-24,171.9900,172.7100,171.3950,171.4300,800123
2024-06-21,172.1100,172.5250,171.6800,172.0500,930496
2024-06-20,173.7300,173.8200,171.9000,172.4200,1036072
2024-06-18,172.7500,173.3100,172.5974,173.1900,1471727
2024-06-17,171.1100,172.9480,170.6800,172.4900,813786
2024-06-14,170.6200,171.1300,170.2400,171.1300,976529
2024-06-13,170.6100,171.1100,169.7354,170.8600,986905
2024-06-12,170.9600,171.3190,170.0100,170.4000,1129920
2024-06-11,168.2700,169.3200,167.4700,169.2600,982460
2024-06-10,167.9500,168.9200,167.6600,168.8300,1002357
2024-06-07,168.1800,169.1500,167.7200,168.1500,828662
2024-06-06,168.5750,168.6300,167.8300,168.3300,1597906
2024-06-05,167.2450,168.4000,166.5700,168.4000,776656
2024-06-04,165.6700,166.5200,165.1700,166.2900,973065
2024-06-03,166.6100,166.6100,164.4000,165.8900,1064881
2024-05-31,165.1600,165.8300,163.0900,165.7400,896049
2024-05-30,165.3650,165.5400,164.2700,164.6900,618553
2024-05-29,165.2000,166.0600,165.2000,165.6000,976395
2024-05-28,167.3600,167.3600,166.0100,166.9300,753734
2024-05-24,165.9900,166.8000,165.6800,166.5200,630482
2024-05-23,167.1400,167.2600,164.8750,165.3400,762475
2024-05-22,166.1800,166.2201,165.0800,165.7400,754471
2024-05-21,165.8800,166.3100,165.7600,166.2500,777098
2024-05-20,165.5200,166.4500,165.5200,166.1000,490582
2024-05-17,165.6600,165.7200,164.8900,165.5400,914194
2024-05-16,166.2500,166.6199,165.5250,165.5700,1035022
2024-05-15,164.3600,166.3100,164.3000,166.2100,1216630
2024-05-14,162.8700,163.7200,162.6700,163.5600,940530
2024-05-13,163.4300,163.4300,162.5200,162.8400,869366
2024-05-10,162.9400,163.4100,162.5300,162.9400,946580
2024-05-09,161.9500,162.4400,161.6100,162.3900,738313
2024-05-08,161.4500,162.1900,161.3700,161.8600,852555
2024-05-07,161.7200,162.3400,161.5100,161.8600,1449613
2024-05-06,160.0000,161.3400,159.7500,161.3400,1093253
2024-05-03,159.1100,159.4400,158.1900,159.1900,1411118
2024-05-02,157.3700,157.6400,155.8000,157.3700,1854575
2024-05-01,156.6500,158.6900,156.0900,156.1900,1627036
2024-04-30,158.7300,159.2300,156.9200,156.9600,1171438
2024-04-29,159.1900,159.3500,158.0800,158.9700,895027
2024-04-26,158.2000,159.4900,157.9000,159.0500,716646
2024-04-25,155.5400,157.4800,155.1300,157.0800,1011964
2024-04-24,158.3400,158.5800,156.9700,157.5600,1211982
2024-04-23,156.6900,157.9600,156.3900,157.6700,1015127
2024-04-22,155.4400,156.8500,154.5800,155.8800,1467902
2024-04-19,156.5700,156.9100,154.1700,154.5600,2146601
2024-04-18,157.7500,158.4230,156.6324,156.8700,1849417
2024-04-17,159.1800,159.3000,156.8501,157.2100,1170550
2024-04-16,158.2400,159.1700,157.8800,158.3200,1218694
2024-04-15,161.5900,161.7000,157.8800,158.1700,1304090
2024-04-12,161.3300,161.5500,159.6800,160.1500,1303604
2024-04-11,161.5600,162.6700,160.4800,162.3100,1156138
2024-04-10,160.8400,161.5350,160.3800,160.8800,1455111
2024-04-09,162.8300,163.0350,160.6100,162.4600,1379253
2024-04-08,162.7100,162.9400,162.1100,162.4350,834073
2024-04-05,161.2100,163.0700,160.9100,162.5400,880617
2024-04-04,164.1800,164.4000,160.5500,160.6000,1261685
2024-04-03,162.5900,163.5100,162.4200,162.9000,1172327
2024-04-02,162.3050,162.8550,161.8200,162.8500,1215018
2024-04-01,164.5000,164.6900,163.4200,163.8700,1186733
2024-03-28,164.0650,164.5800,163.9000,164.3500,1573281
2024-03-27,164.1700,164.2275,162.9800,164.1600,1132831
