,1. open,2. high,3. low,4. close,5. volume
2024-07-16,1.8500,1.9588,1.8500,1.9300,526671
2024-07-15,1.8700,1.9050,1.8300,1.8300,230490
2024-07-12,1.8400,1.9250,1.8400,1.8600,784682
2024-07-11,1.6200,1.8800,1.6100,1.8400,1133678
2024-07-10,1.5900,1.6300,1.5800,1.5900,253883
2024-07-09,1.5900,1.6000,1.5600,1.5900,339636
2024-07-08,1.6200,1.6363,1.5900,1.6000,404176
2024-07-05,1.6300,1.6400,1.6000,1.6200,339627
2024-07-03,1.6500,1.6650,1.6300,1.6400,221239
2024-07-02,1.6800,1.6979,1.6200,1.6400,742962
2024-07-01,1.7000,1.7700,1.6750,1.6900,865210
2024-06-28,1.7800,1.8100,1.6500,1.6800,7866418
2024-06-27,1.6900,1.8000,1.6600,1.7500,702990
2024-06-26,1.6600,1.7300,1.6600,1.6700,614195
2024-06-25,1.7300,1.7400,1.6900,1.7000,659707
2024-06-24,1.7100,1.7500,1.6700,1.7300,544531
2024-06-21,1.6600,1.7300,1.6400,1.7000,714046
2024-06-20,1.6700,1.6700,1.6200,1.6500,512839
2024-06-18,1.7100,1.7400,1.6700,1.6700,370291
2024-06-17,1.7800,1.7800,1.7200,1.7200,405799
2024-06-14,1.8200,1.8400,1.7400,1.7800,421948
2024-06-13,1.8900,1.9000,1.8100,1.8100,250960
2024-06-12,1.8700,1.9100,1.8250,1.8700,518972
2024-06-11,1.8000,1.8300,1.7575,1.8100,364267
2024-06-10,1.7300,1.8250,1.6850,1.8100,874857
2024-06-07,1.7700,1.7900,1.7150,1.7300,340164
2024-06-06,1.7900,1.8001,1.7400,1.7600,490936
2024-06-05,1.8200,1.8550,1.7800,1.8000,622719
2024-06-04,1.7600,1.8200,1.7300,1.8000,358507
2024-06-03,1.8400,1.8750,1.7500,1.7900,523123
2024-05-31,1.7800,1.8500,1.7500,1.8000,700620
2024-05-30,1.8300,1.8600,1.7700,1.7700,354165
2024-05-29,1.8800,1.8800,1.8100,1.8100,323743
2024-05-28,1.9400,1.9800,1.8800,1.8800,336676
2024-05-24,1.9900,2.0000,1.9400,1.9400,333152
2024-05-23,2.0200,2.0600,1.9700,1.9800,727274
2024-05-22,2.0500,2.0850,2.0000,2.0200,200077
